Webservice Family;Webservice;Backend;Description;Uri-Webservice (targetNamespace webservice)
S034-PersonServices;S189-AddressHistoryService;IBZ-RRN;Web service delivering the history of address of a person.;http://fsb.belgium.be/addressHistoryService/v1_00
S034-PersonServices;S190-HouseholdService;IBZ-RRN;Web service to obtain information regarding the household situation of a person.;http://fsb.belgium.be/householdService/v1_00
S034-PersonServices;S038-InternetGamingValidationService;IBZ-RRN;"Web service which checks if a person is minimum 18 years old and lives in Belgium.
";" 

http://fsb.belgium.be/InternetGamingValidationService/v1_00  "
S034-PersonServices;S197-NRProxyService;IBZ-RRN;De Nrproxyservice geeft de mogelijk om IT's door te geven die wij niet beschikbaar stellen in onze standaard PersonService webservices;
S034-PersonServices;S196-PersonHistoryService;IBZ-RRN;De PersonHistoryservice gives historic data of personnames, civilstate and nationality;http://fsb.belgium.be/personHistoryService/v1_00
S034-PersonServices;S192-VerifyPersonNameService;IBZ-RRN / KSZ;Web service which returns 'True' or 'False' when input of national number, first name and last name of a person correspond.;http://fsb.belgium.be/verifyPersonNameService/v1_00
S034-PersonServices;S035-GetPersonService;IBZ-RRN / KSZ;"Web service which orchestrates the retrieval of person information from the RRN and the BCS/KSZ authentic sources.
";http://fsb.belgium.be/getPersonService/v2_00
S034-PersonServices;S037-SearchPersonService;IBZ-RRN / KSZ;"Web service which offers two operations searchPersonByName and searchPersonByAddress. The service returns basic person information.
";http://fsb.belgium.be/searchPersonService/v2_00
S034-PersonServices;S151-ManagePersonService;KSZ;Web service which enables the consumer to retrieve and add or update basic person information in the BCSS/KSZ registry.;
S034-PersonServices;S234-SSRProxyService;KSZ;De SSRproxyservice geeft de mogelijk om bispersonen aan te maken en om bis en RAD (enkel adres) personen te updaten;
S034-PersonServices;S191-PictureService;IBZ-RRN;Web service which delivers the eID photo of a person.;
S039-EnterpriseServices;S235-AuthorisationFileService;FOD Economie/KBO;Web service to manage authorisation files for mobile trade and fairs.;
S039-EnterpriseServices;S236-CertificateService;FOD Economie/KBO;Web service to manage certifications which provide authorization for mobile trade and fairs.;
S039-EnterpriseServices;S237-ListService;FOD Economie/KBO;"Web service to retrieve information regarding authorizations for mobile trade and fairs.
";
S039-EnterpriseServices;S040-WSConsultAgentEnterpriseService;FOD Economie/KBO;"opzoeken van wettelijke vertegenwoordiger van een onderneming
";
S039-EnterpriseServices;S042-WSConsultAttestService;FOD Economie/KBO;"raadplegen van attesten (= bewijzen van ondernemersvaardigheid om een bepaalde activiteit te kunnen uitoefenen)
";
S039-EnterpriseServices;S043-WSConsultKBOService;FOD Economie/KBO;"raadplegen van ondernemingsgegevens in de Kruispuntbank van Ondernemingen (KBO)
";
S039-EnterpriseServices;S048-WSConsultTAPService;FOD Economie/KBO;"raadplegen van de huidige situatie van de toelatingsaanvragen van een onderneming of een vestigingseenheid in de TAP (Toelatingen Autorisatie Procedure) databank
";
S039-EnterpriseServices;S044-WSReportKBOService;FOD Economie/KBO;"opvragen van rapporten in de KBO
";
S039-EnterpriseServices;S049-WSReportTAPService;FOD Economie/KBO;"opvragen van overzicht van de lopende toelatingsaanvragen van ‚‚n onderneming of ‚‚n vestigingseenheid op een bepaald tijdstip in de TAP (Toelatingen Autorisatie Procedure) databank
";
S039-EnterpriseServices;S045-WSStatusKBOService;FOD Economie/KBO;"nagaan van de beschikbaarheid van de KBO services
";
S039-EnterpriseServices;S047-WSUpdateAttestService;FOD Economie/KBO;"cre‰ren en aanpassen van attesten (= bewijzen van ondernemersvaardigheid om een bepaalde activiteit te kunnen uitoefenen)
";
S039-EnterpriseServices;S051-WSUpdateKBOService;FOD Economie/KBO;"cre‰ren en aanpassen van ondernemingsgegevens in de KBO
";
S039-EnterpriseServices;S050-WSUpdateTAPService;FOD Economie/KBO;"cre‰ren, wijzigen of annuleren van toelatingsaanvragen van ‚‚n onderneming of ‚‚n vestigingseenheid in de  TAP (Toelatingen Autorisatie Procedure) databank
";
S092-eLoketServices;S095-PoliceBackOfficeService;Federale Politie;"backend politie om neerleggen van een klacht te registreren
";
S092-eLoketServices;S096-PoliceReferenceTableUpdateService;Federale Politie;"uitwisselen van info tussen front- en back-end van Aline tijdens de update van de referentietabellen van de politie
";
S092-eLoketServices;S222-AlineCasBackEndService;IBZ - VPS;"beheer van aangiften van alarmsystemen door alarmcentrales
";
S092-eLoketServices;S093-AlinePublicBackEndService;IBZ - VPS;"beheer van aangiften van alarmsystemen
";
S092-eLoketServices;S159-CitizenStatusService;Fod Economie;Webservice die bevestigt of de aangelogde persoon recht heeft op een sociaal tarief;
S092-eLoketServices;S223-SoctarService;Fod Economie;Consulteren of een persoon recht heeft op Sociaal energie tarief;
S097-eBirthServices;S097-CityService;Fedict/eBirth;FSB service voor eBirth waarop de gemeenten zich connecteren;
S097-eBirthServices;S147-HospitalService;Fedict/eBirth;FSB service voor eBirth waarop de gegevens van de ziekenhuizen via eHealt op terecht komen;
S097-eBirthServices;S148-InternalService;KankerRegister;FSB service voor eBirth;
S097-eBirthServices;S149-ManageService;Fedict/eBirth;FSB service voor eBirth;
S098-4thWayServices;S240-CCFFSubscriber;FOD Financi‰n;Fod Finance subscriber service;
S098-4thWayServices;S238-DebtService;FSB;Web service to send debt notifications to the FourthWay project;
S098-4thWayServices;S239-TransactionService;FSB;Web service to send a notice to the FourthWay project;
S098-4thWayServices;S241-FRNBSubscriber;KFBN - FRNB;FRNB subscriver service;
S098-4thWayServices;S242-BCSSSubscriber;KSZ;KSZ subscriber service;
S098-4thWayServices;S099-DebtInfoProvider;FSB;Web service to send debt notifications to the FourthWay project;
S098-4thWayServices;S266-ESUCECACSubscriber;FOD Financi‰n;;
S098-4thWayServices;S100-NoticeRequester;FSB;Web service to send a notice to the FourthWay project;
S135-EDRLServices;S152-ActivityService;DAV;;
S135-EDRLServices;S154-ProcedureService;DAV;;
S135-EDRLServices;S156-SectorService;DAV;;
S135-EDRLServices;S153-AddressService;DAV;;
S135-EDRLServices;S155-ProductService;DAV;;
S137-FSBUtilityServices;S138-EchoService;FSB;FSB service om consumer en provider  connectietesten zonder WS-security mogelijk te maken;
S137-FSBUtilityServices;S243-SecuredEchoService;FSB;FSB service om consumer en provider  connectietesten met WS-security mogelijk te maken;
S139-eDepotServices;S220-MoniteurEDepotCallbackService;eDepot;Webservice for Staatsblad  to reply on eDepot messages (confirmation of publication of the Deed);
S139-eDepotServices;S140-MoniteurProxyService;Belgisch Staatsblad;FSB service voor FRNB om ondernemingen te publiceren met als provider Staatsblad;
S139-eDepotServices;S219-JusticeEDepotCallbackService;eDepot;Webservice for Justice to reply on eDepot messages (prevalidation of Deed OK and confirmation data Deed received);
S139-eDepotServices;S142-JusticeProxyService;FOD Justitie;FSB service voor FRNB om ondernemingen aan te maken met als provider FOD justitie en Staatsblad;
S139-eDepotServices;S143-EDepotCreateService;eDepot;FSB service voor FRNB om ondernemingen aan te maken met als providers KBO, FOD justitie en Staatsblad;
S139-eDepotServices;S144-EDepotUpdateService;eDepot;FSB service voor FRNB om ondernemingen aan te passen en te publiceren met als providers KBO, FOD justitie en Staatsblad;
S139-eDepotServices;S194-EvzwNotificationService;FOD Justitie;FSB service voor Fod Justitie (eGriffie) om ondernemingen aan te passen en te publiceren met als providers KBO, FOD justitie en Staatsblad;
S139-eDepotServices;S145-CredocNotificationService;FRNB;FSB service voor FRNB om ondernemingen aan te passen en te publiceren met als providers KBO, FOD justitie en Staatsblad;
S160-AuthorizationServices;S231-AttributeAuthorityService;eHealth;Service to consult eHealth attributes of a person or organisation;
S160-AuthorizationServices;S232-AttributeService;IAM;Service to consult IAM attributes of a person or organisation;
S160-AuthorizationServices;S233-OrganizationPublicationService;IAM;Service to consult departments of public organisations;
S160-AuthorizationServices;S160-SocialSecurityUserManagementService;KSZ;Webservice die de mogelijkheid geeft om rollen op te vragen bij de KSZ. Wordt bijvoorbeeld gebruikt om aan OCMW's toegang te verlenen tot de Digiflow applicatie;
S160-AuthorizationServices;S224-FlemishRegionUserManagementService;Vlaanderen;Flemisch Regional Usermangement Service gebruikt door FAS voor het opvragen van de rollen van de vlaamse ambtenaren.;
S163-DebtServices;S179-AttestService;FSB;Web service to obtain official attests from SPF Finance / FOD Financi‰n (Fiscal Attest and VAT Status Attest, BCE/KBO (Attest non-bankrupcy), ONSS/RSZ (Employer Contribution Balance Attest), NBB (Annual Account Attest);
S163-DebtServices;S181-SocialDebtService;RSZ;Web service to obtain official Social Debt Attest from RSZ/ONSS;
S163-DebtServices;S180-FiscalDebtService;FOD Financi‰n;Web service to obtain official Fiscal Attest from SPF Finance / FOD Financi‰n.;
S165-NationalBankServices;S188-BankAccountExtractsService;NBB;Web service to retrieve references of the balance sheets of a Belgian company from the enterprise number.;
S170-EurTransBelServices;S136-NationalExecutionMeasureNotificationService;Europese Gemeenschap;;
S184-Maritime Localization Services;S244-LRITEndpointService;EMSA;Web service 'Maritiem Informatie Kruispunt / Carrefour Information Maritime' allows sending ship data and GPS location information by SPF Mobilit‚ / FOD Mobiliteit to the MIK consumers.;
S184-Maritime Localization Services;S185-MIKPrivateService;EMSA;Web service to retrieve new ships data and GPS location information from EMSA (European Maritime Safety Agency) only for MIK.;
S184-Maritime Localization Services;S186-MikPublicService;FOD Mobiliteit;Web service 'Maritiem Informatie Kruispunt / Carrefour Information Maritime' allows consumers to manage their subscription by communicating with MIK or to request ad-hoc information.;
S184-Maritime Localization Services;S187-MIKResponseService;FOD Mobiliteit;Web service 'Maritiem Informatie Kruispunt / Carrefour Information Maritime' allows sending ship data and GPS location information by SPF Mobilit‚ / FOD Mobiliteit to the MIK consumers.;
S193-eHealthServices;S150-CodageService;eHealth;Web service from eHealth to encode medical forms.;
S210-MappingServices;S211-CountryService;FOD Economie;Webservice for mapping CountryCodes , Nationalities and places (ISO, NIS);
S216-eInvoiceServices;S217-CustomerService;ePrior;Webservice for Governement Organisations to confirm receipt of invoice supplier;
S216-eInvoiceServices;S218-SupplierService;ePrior;Webservices for suppliers to sent invoice digitaly to government organisations;
S227-CSAMServices;S229-CapacityService;FSB;Service to consult capacities of organisation or person for a chosen domain. Today only HealthCare Domain;
S227-CSAMServices;S230-MandateService;FOD Financi‰n;Service to consult Mandate of organisation or person for a chosen domain. Today only HealthCare Domain;
S227-CSAMServices;S183-SocialSecurityAccessManagmentService;RSZ;Web service which consults the User Management of ONSS/RSZ to retrieve information about  which organization is represented by a person or  who is representing an organization.;
S245-TrafficClearingService;S246-PTS_CBS2Mob;FOD Mobiliteit;Webservices to send information from Belgian Ports to ISPS (Mobiliteit);
S245-TrafficClearingService;S247-PTS_Mob2CBS;Schelderadarketen;Webservices to send clearance from ISPS to Belgian ports;
S245-TrafficClearingService;S248-PTS_CBS2FedPol;FedPol;Webservices to send information from Belgian Ports to AquaTask (FedPol);
S245-TrafficClearingService;S249-PTS_FedPol2CBS;Schelderadarketen;Webservices to send clearance from AquaTask to Belgian Ports ;
S245-TrafficClearingService;S250-PTS_CBS2VVVL;FOD VVVL;Webservices to send information from Belgian Ports to Saniport;
